cmd,time,pwmL,pwmR,encL,encR
5,9171,-175,-175,1389,1341
5,9181,-183,-183,1385,1337
5,9191,-183,-183,1381,1333
5,9201,-191,-191,1377,1328
5,9211,-191,-191,1373,1324
5,9221,-198,-198,1370,1320
5,9231,-198,-198,1366,1316
5,9241,-206,-206,1362,1311
5,9251,-206,-206,1358,1307
5,9261,-214,-214,1354,1302
5,9271,-214,-214,1350,1298
5,9281,-219,-219,1346,1293
5,9291,-219,-219,1341,1288
5,9302,-224,-224,1337,1283
5,9312,-224,-224,1332,1278
5,9322,-232,-232,1327,1273
5,9332,-232,-232,1323,1268
5,9342,-234,-234,1318,1263
5,9352,-234,-234,1313,1258
5,9362,-239,-239,1308,1252
5,9372,-239,-239,1302,1247
5,9382,-242,-242,1297,1241
5,9392,-242,-242,1292,1236
5,9402,-247,-247,1287,1231
5,9412,-247,-247,1281,1225
5,9422,-249,-249,1276,1220
5,9432,-249,-249,1271,1215
5,9442,-252,-252,1265,1209
5,9452,-252,-252,1259,1203
5,9462,-252,-252,1253,1198
5,9472,-252,-252,1248,1193
5,9482,-252,-252,1242,1187
5,9492,-252,-252,1236,1181
5,9502,-252,-252,1231,1175
5,9512,-252,-252,1225,1170
5,9522,-252,-252,1220,1165
5,9532,-252,-252,1214,1159
5,9542,-252,-252,1208,1153
5,9552,-252,-252,1202,1147
5,9562,-249,-249,1197,1142
5,9572,-249,-249,1191,1136
5,9582,-249,-249,1185,1131
5,9592,-249,-249,1179,1125
5,9602,-244,-244,1174,1120
5,9612,-244,-244,1168,1114
5,9622,-242,-242,1162,1108
5,9632,-242,-242,1156,1103
5,9643,-239,-239,1150,1097
5,9653,-239,-239,1144,1091
5,9663,-234,-234,1139,1086
5,9673,-234,-234,1133,1080
5,9683,-229,-229,1127,1074
5,9693,-229,-229,1122,1069
5,9703,-221,-221,1116,1064
5,9713,-221,-221,1110,1058
5,9723,-216,-216,1105,1053
5,9733,-216,-216,1100,1048
5,9743,-209,-209,1094,1042
5,9753,-209,-209,1089,1037
5,9763,-201,-201,1083,1031
5,9773,-201,-201,1079,1027
5,9783,-193,-193,1073,1021
5,9793,-193,-193,1068,1016
5,9803,-186,-186,1063,1011
5,9814,-186,-186,1058,1006
5,9824,-175,-175,1054,1001
5,9834,-175,-175,1049,996
5,9844,-168,-168,1045,991
5,9854,-168,-168,1040,986
5,9864,-158,-158,1037,982
5,9874,-158,-158,1033,978
5,9884,-147,-147,1029,974
5,9894,-147,-147,1025,969
5,9904,-137,-137,1021,965
5,9914,-137,-137,1016,960
5,9924,-124,-124,1011,955
5,9934,-124,-124,1007,950
5,9944,-114,-114,1003,945
5,9954,-114,-114,998,941
5,9964,-102,-102,994,936
5,9974,-102,-102,990,932
5,9984,-89,-89,987,928
5,9994,-89,-89,983,923
5,10004,-76,-76,978,918
5,10014,-76,-76,974,913
5,10024,-63,-63,969,908
5,10034,-63,-63,964,904
5,10044,-51,-51,960,898
5,10054,-38,-38,955,893
5,10064,-38,-38,950,888
5,10074,-25,-25,946,883
5,10084,-25,-25,941,878
5,10094,-25,-25,936,873
5,10104,-12,-12,932,869
5,10114,-12,-12,928,864
5,10124,0,0,924,860
5,10134,0,0,920,856
5,10144,10,10,917,851
5,10155,10,10,914,847
5,10165,25,25,911,844
5,10175,25,25,908,841
5,10185,38,38,906,839
5,10195,38,38,905,838
5,10205,51,51,905,837
5,10215,63,63,905,839
5,10225,63,63,906,840
5,10235,76,76,909,842
